Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort (A, B, C oder D)
Wie heißt das Event, bei dem LGBTQ*-Menschen für ihre Rechte einstehen?;ZDF;CSD;CBD;ZSD;B
Was bedeutet die Abkürzung CSD?;Christopher-Street-Day;Crazy-Social-Day;Collin-Street-Day;Crazy-Sex-Day;A
Seit wann gibt es den CSD in seiner jetzigen Form?;1965;1980;2001;1970;D
Was war der Auslöser des Stonwall-Aufstands 1969?;Polizeigewalt und Razzien in Bars mit homosexuellen Publikum;Attentat auf eine Bar mit homosexuellen Publikum;Flyeraktion gegen Homosexualität;Neues Verbot von Homosexualität in den USA;A
Den wie vielten Geburtstag feierte der Stonewall-Aufstand letztes Jahr (2019)?;60 Jahre Stonewall;40 Jahre Stonewall;50 Jahre Stonewall;70 Jahre Stonewall;C
"Welche Personengruppe sammelte sich ursprünglich unter dem Begriff ""Gay""?";heterosexuelle Menschen;schwule Menschen;lesbische Menschen;homosexuelle Menschen;D
Wofür steht das Gendersternchen (Schüler*innen)?;Für weibliche Menschen;Für nicht-binäre Menschen;Für homosexuelle Menschen;Für heteronormative Menschen;B
Was streitet eine heteronormative Gesellschaft ab?;Die Existenz von heterosexuellen Menschen;Die Existenz von straighten Menschen;Die Existenz von queeren Menschen;Die Existenz von binären Geschlechtern;C
Wie viele Gender gibt es?;2;3;keine;unendlich viele;D
Brauchen wir Gleichberechtigung?;Ja;Ja ;Ja;Ja;E
